rank, imageUrl, gameLink, gameTitle, platform,Publisher, developer, VGChartzScore, CriticScore,UserScore, TotalShipped, TotalSales, NASales,PALSales, JapanSales, OtherSales, ReleaseDate, LastUpdate
1181,/games/boxart/full_5266833AmericaFrontccc.jpg,https://www.vgchartz.com/game/73238/gran-turismo-psp/?region=All,Gran Turismo (PSP)    ,PSP,Sony Computer Entertainment  ,Polyphony Digital  ,N/A  ,N/A  ,N/A  ,N/A,3.27m,0.51m,1.59m,0.31m,0.86m,01st Oct 09  ,03rd Jan 18
1182,/games/boxart/full_9340109AmericaFrontccc.jpg,https://www.vgchartz.com/game/51770/far-cry-3/?region=All,Far Cry 3    ,PS3,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,N/A,3.27m,0.88m,1.79m,0.10m,0.50m,04th Dec 12  ,N/A
1183,/games/boxart/full_3484636AmericaFrontccc.jpg,https://www.vgchartz.com/game/13394/god-of-war-chains-of-olympus/?region=All,God of War: Chains of Olympus    Read the review,PSP,Sony Computer Entertainment  ,Ready at Dawn  ,7.9  ,8.9  ,9.5  ,3.26m,N/A,N/A,N/A,N/A,N/A,04th Mar 08  ,N/A
1184,/games/boxart/full_8789149AmericaFrontccc.jpg,https://www.vgchartz.com/game/85614/fifa-16/?region=All,FIFA 16    ,XOne,EA Sports  ,EA Canada  ,N/A  ,8.5  ,N/A  ,N/A,3.25m,0.92m,2.10m,N/A,0.24m,22nd Sep 15  ,01st Apr 18
1185,/games/boxart/full_3097585AmericaFrontccc.jpg,https://www.vgchartz.com/game/12879/flash-focus-vision-training-in-minutes-a-day/?region=All,Flash Focus: Vision Training in Minutes a Day    ,DS,Nintendo  ,Bandai Namco Games  ,N/A  ,6.1  ,N/A  ,3.23m,N/A,N/A,N/A,N/A,N/A,15th Oct 07  ,N/A
1186,/games/boxart/full_2514623AmericaFrontccc.jpg,https://www.vgchartz.com/game/230934/top-gun/?region=All,Top Gun    ,Series,Ocean Software  ,Ocean Software  ,N/A  ,N/A  ,N/A  ,3.23m,N/A,N/A,N/A,N/A,N/A,01st Dec 86  ,21st Sep 22
1187,/games/boxart/full_1226105AmericaFrontccc.jpg,https://www.vgchartz.com/game/223367/dragon-ball-z-kakarot/?region=All,Dragon Ball Z: Kakarot    Read the review,PS4,Bandai Namco Games  ,CyberConnect2  ,7.0  ,N/A  ,N/A  ,3.22m,N/A,N/A,N/A,N/A,N/A,17th Jan 20  ,23rd Jul 19
1188,/games/boxart/2584016ccc.jpg,https://www.vgchartz.com/game/6406/ratchet-amp-clank-up-your-arsenal/?region=All,Ratchet & Clank: Up Your Arsenal    ,PS2,Sony Computer Entertainment  ,Insomniac Games  ,N/A  ,9.1  ,N/A  ,3.22m,N/A,N/A,N/A,N/A,N/A,03rd Nov 04  ,N/A
1189,/games/boxart/9103576ccc.jpg,https://www.vgchartz.com/game/6508/007-tomorrow-never-dies/?region=All,007: Tomorrow Never Dies    ,PS,Electronic Arts  ,Black Ops Entertainment  ,N/A  ,6.2  ,N/A  ,N/A,3.21m,1.72m,1.33m,N/A,0.16m,16th Nov 99  ,N/A
1190,/games/boxart/full_la-noire_75AmericaFront.jpg,https://www.vgchartz.com/game/33961/la-noire/?region=All,L.A. Noire    ,PS3,Rockstar Games  ,Team Bondi  ,N/A  ,9.1  ,N/A  ,N/A,3.21m,1.29m,1.31m,0.12m,0.49m,15th Nov 11  ,N/A
1191,/games/boxart/full_1788703AmericaFrontccc.jpg,https://www.vgchartz.com/game/228021/alan-wake/?region=All,Alan Wake    ,All,Microsoft Game Studios  ,Remedy Entertainment  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,18th May 10  ,09th Jan 21
1192,/games/boxart/5489947ccc.jpg,https://www.vgchartz.com/game/6198/baseball/?region=All,Baseball    ,NES,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,01st Oct 85  ,N/A
1193,/games/boxart/full_6820063AmericaFrontccc.jpg,https://www.vgchartz.com/game/227447/dead-rising/?region=All,Dead Rising    ,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,08th Aug 06  ,10th Oct 20
1194,/games/boxart/full_9336542AmericaFrontccc.jpg,https://www.vgchartz.com/game/227478/dead-rising-2/?region=All,Dead Rising 2    ,All,Capcom  ,Blue Castle Games  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,28th Sep 10  ,12th Oct 20
1195,/games/boxart/full_580396AmericaFrontccc.png,https://www.vgchartz.com/game/227993/dragon-age-origins/?region=All,Dragon Age: Origins    ,All,Electronic Arts  ,BioWare  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,03rd Nov 09  ,31st Dec 20
1196,/games/boxart/1457148ccc.jpg,https://www.vgchartz.com/game/3138/dragon-quest-iv/?region=All,Dragon Quest IV    ,NES,Enix  ,ChunSoft  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,01st Oct 92  ,27th Mar 18
1197,/games/boxart/full_6472579JapanFrontccc.jpg,https://www.vgchartz.com/game/3148/dragon-quest-vi-maboroshi-no-daichi/?region=All,Dragon Quest VI: Maboroshi no Daichi    ,SNES,Enix  ,Heart Beat  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,09th Dec 95  ,N/A
1198,/games/boxart/full_3053742AmericaFrontccc.png,https://www.vgchartz.com/game/226047/final-fight/?region=All,Final Fight    ,Series,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,01st Dec 89  ,03rd Feb 20
1199,/games/boxart/full_5572538AmericaFrontccc.jpg,https://www.vgchartz.com/game/6308/killer-instinct/?region=All,Killer Instinct    ,SNES,Nintendo  ,Rare Ltd.  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,01st Aug 95  ,N/A
1200,/games/boxart/full_1206540AmericaFrontccc.jpg,https://www.vgchartz.com/game/230300/lego-star-wars-the-skywalker-saga/?region=All,Lego Star Wars: The Skywalker Saga    ,All,Warner Bros. Interactive Entertainment  ,TT Games  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,05th Apr 22  ,22nd Apr 22
1201,/games/boxart/full_3056323AmericaFrontccc.jpg,https://www.vgchartz.com/game/1724/perfect-dark/?region=All,Perfect Dark    ,N64,Rare  ,Rare Ltd.  ,N/A  ,9.7  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,22nd May 00  ,N/A
1202,/games/boxart/full_1504446AmericaFrontccc.jpg,https://www.vgchartz.com/game/228000/star-wars-knights-of-the-old-republic/?region=All,Star Wars: Knights of the Old Republic    ,All,LucasArts  ,BioWare  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,15th Jul 03  ,04th Jan 21
1203,/games/boxart/3194073ccc.jpg,https://www.vgchartz.com/game/6533/wwf-smackdown-2-know-your-role/?region=All,WWF SmackDown! 2: Know Your Role    ,PS,THQ  ,Yuke's  ,N/A  ,8.7  ,N/A  ,N/A,3.20m,1.76m,1.21m,0.07m,0.16m,21st Nov 00  ,N/A
1204,/games/boxart/full_4303408AmericaFrontccc.jpg,https://www.vgchartz.com/game/71596/assassins-creed-iv-black-flag/?region=All,Assassin's Creed IV: Black Flag    ,PS4,Ubisoft  ,Ubisoft Montreal  ,N/A  ,8.3  ,N/A  ,N/A,3.19m,1.07m,1.55m,0.06m,0.51m,15th Nov 13  ,14th Mar 18
1205,/games/boxart/full_5419080AmericaFrontccc.jpg,https://www.vgchartz.com/game/226252/front-mission/?region=All,Front Mission    ,Series,Square  ,G-Craft  ,N/A  ,N/A  ,N/A  ,3.18m,N/A,N/A,N/A,N/A,N/A,29th Feb 00  ,29th Feb 20
1206,/games/boxart/full_3283622AmericaFrontccc.jpg,https://www.vgchartz.com/game/232043/naruto-to-boruto-shinobi-striker/?region=All,Naruto to Boruto: Shinobi Striker    ,All,Bandai Namco Entertainment  ,Soleil Software Studio Inc.  ,N/A  ,N/A  ,N/A  ,3.18m,N/A,N/A,N/A,N/A,N/A,31st Aug 18  ,05th Aug 23
1207,/games/boxart/full_5100943AmericaFrontccc.jpg,https://www.vgchartz.com/game/22394/personal-trainer-cooking/?region=All,Personal Trainer: Cooking    ,DS,Nintendo  ,Nintendo EAD  ,N/A  ,8.4  ,N/A  ,3.18m,N/A,N/A,N/A,N/A,N/A,24th Nov 08  ,N/A
1208,/games/boxart/full_78779AmericaFrontccc.jpg,https://www.vgchartz.com/game/227870/simcity/?region=All,SimCity    ,All,Maxis  ,Maxis  ,N/A  ,N/A  ,N/A  ,3.18m,N/A,N/A,N/A,N/A,N/A,02nd Feb 89  ,27th Nov 20
1209,/games/boxart/full_3940160AmericaFrontccc.jpg,https://www.vgchartz.com/game/3212/enter-the-matrix/?region=All,Enter the Matrix    ,PS2,Atari  ,Shiny Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,3.18m,1.78m,1.12m,0.09m,0.19m,14th May 03  ,N/A
1210,/games/boxart/full_1336415AmericaFrontccc.jpg,https://www.vgchartz.com/game/222151/assassins-creed-odyssey/?region=All,Assassin's Creed Odyssey    ,PS4,Ubisoft  ,Ubisoft Quebec  ,N/A  ,9.5  ,N/A  ,N/A,3.18m,1.18m,1.40m,0.09m,0.51m,05th Oct 18  ,17th Nov 18
1211,/games/boxart/full_fallout-new-vegas_9AmericaFront.jpg,https://www.vgchartz.com/game/33662/fallout-new-vegas/?region=All,Fallout: New Vegas    ,PS3,Bethesda Softworks  ,Obsidian Entertainment  ,N/A  ,8.2  ,N/A  ,N/A,3.17m,1.54m,1.04m,0.10m,0.49m,19th Oct 10  ,N/A
1212,/games/boxart/6747618ccc.jpg,https://www.vgchartz.com/game/5707/sonic-heroes/?region=All,Sonic Heroes    ,PS2,Sega  ,Sonic Team  ,N/A  ,6.6  ,N/A  ,3.16m,N/A,N/A,N/A,N/A,N/A,27th Jan 04  ,N/A
1213,/games/boxart/full_527262AmericaFrontccc.jpg,https://www.vgchartz.com/game/25986/club-penguin-elite-penguin-force/?region=All,Club Penguin: Elite Penguin Force    ,DS,Disney Interactive Studios  ,1st Playable Productions  ,N/A  ,7.0  ,N/A  ,N/A,3.14m,1.87m,0.97m,N/A,0.30m,25th Nov 08  ,N/A
1214,/games/boxart/4612940ccc.jpg,https://www.vgchartz.com/game/7616/fifa-soccer-08/?region=All,FIFA Soccer 08    ,PS2,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,3.14m,0.68m,0.00m,N/A,2.46m,09th Oct 07  ,N/A
1215,/games/boxart/full_6019647AmericaFrontccc.jpg,https://www.vgchartz.com/game/180524/fifa-18/?region=All,FIFA 18    ,XOne,EA Sports  ,EA Vancouver  ,N/A  ,8.0  ,N/A  ,N/A,3.14m,0.98m,1.92m,N/A,0.23m,29th Sep 17  ,02nd Apr 18
1216,/games/boxart/full_2864432AmericaFrontccc.png,https://www.vgchartz.com/game/230370/kid-icarus/?region=All,Kid Icarus    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,3.13m,N/A,N/A,N/A,N/A,N/A,01st Jul 87  ,10th May 22
1217,/games/boxart/5099878ccc.jpg,https://www.vgchartz.com/game/6430/spider-man/?region=All,Spider-Man    ,PS,Activision  ,Neversoft Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,3.13m,1.70m,1.25m,0.02m,0.16m,30th Aug 00  ,N/A
1218,/games/boxart/4212814ccc.jpg,https://www.vgchartz.com/game/6373/need-for-speed-iii-hot-pursuit/?region=All,Need for Speed III: Hot Pursuit    ,PS,Electronic Arts  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,3.12m,2.14m,0.86m,N/A,0.13m,25th Mar 98  ,N/A
1219,/games/boxart/full_1480417AmericaFrontccc.jpg,https://www.vgchartz.com/game/6071/the-elder-scrolls-iv-oblivion/?region=All,The Elder Scrolls IV: Oblivion    Read the review,PS3,Bethesda Softworks  ,4J Studios  ,8.8  ,9.3  ,N/A  ,N/A,3.12m,1.69m,0.86m,0.14m,0.44m,20th Mar 07  ,N/A
1220,/games/boxart/full_8967697AmericaFrontccc.jpg,https://www.vgchartz.com/game/4377/star-wars-episode-i-racer/?region=All,Star Wars Episode I Racer    ,N64,LucasArts  ,LucasArts  ,N/A  ,8.7  ,N/A  ,3.12m,N/A,N/A,N/A,N/A,N/A,19th May 99  ,N/A
1221,/games/boxart/full_6306253AmericaFrontccc.jpg,https://www.vgchartz.com/game/13114/tekken-6/?region=All,Tekken 6    ,PS3,Namco Bandai  ,Namco Bandai Games  ,N/A  ,7.9  ,N/A  ,3.12m,N/A,N/A,N/A,N/A,N/A,27th Oct 09  ,N/A
1222,/games/boxart/full_7973709AmericaFrontccc.jpg,https://www.vgchartz.com/game/4768/yoshi/?region=All,Yoshi    ,GB,Nintendo  ,Game Freak  ,N/A  ,N/A  ,N/A  ,3.12m,N/A,N/A,N/A,N/A,N/A,01st Jul 92  ,N/A
1223,/games/boxart/full_8142222AmericaFrontccc.jpg,https://www.vgchartz.com/game/47359/resident-evil-6/?region=All,Resident Evil 6    Read the review,PS3,Capcom  ,Capcom  ,7.7  ,N/A  ,N/A  ,N/A,3.12m,0.88m,0.97m,0.88m,0.39m,02nd Oct 12  ,N/A
1224,/games/boxart/full_6335056AmericaFrontccc.jpg,https://www.vgchartz.com/game/85753/tom-clancys-ghost-recon-wildlands/?region=All,Tom Clancy's Ghost Recon Wildlands    ,PS4,Ubisoft  ,Ubisoft Paris  ,N/A  ,7.0  ,N/A  ,N/A,3.12m,1.07m,1.35m,0.22m,0.47m,07th Mar 17  ,01st Apr 18
1225,/games/boxart/full_3710885AmericaFrontccc.jpg,https://www.vgchartz.com/game/70741/nba-2k13/?region=All,NBA 2K13    ,X360,2K Sports  ,Visual Concepts  ,N/A  ,8.6  ,N/A  ,N/A,3.11m,2.62m,0.21m,0.01m,0.28m,02nd Oct 12  ,04th Jan 18
1226,/games/boxart/full_8915130AmericaFrontccc.jpg,https://www.vgchartz.com/game/72891/titanfall/?region=All,Titanfall    ,XOne,Electronic Arts  ,Respawn Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,3.11m,1.88m,0.91m,0.04m,0.28m,11th Mar 14  ,12th Jan 18
1227,/games/boxart/full_mario-party-9_118AmericaFront.jpg,https://www.vgchartz.com/game/51842/mario-party-9/?region=All,Mario Party 9    Read the review,Wii,Nintendo  ,Nd Cube Co., Ltd.  ,5.8  ,6.5  ,N/A  ,3.11m,N/A,N/A,N/A,N/A,N/A,11th Mar 12  ,19th Nov 18
1228,/games/boxart/full_618681AmericaFrontccc.jpg,https://www.vgchartz.com/game/226251/bravely/?region=All,Bravely    ,Series,Nintendo  ,Silicon Studio  ,N/A  ,N/A  ,N/A  ,3.10m,N/A,N/A,N/A,N/A,N/A,07th Feb 14  ,29th Feb 20
1229,/games/boxart/full_2029251AmericaFrontccc.jpg,https://www.vgchartz.com/game/226253/parasite-eve/?region=All,Parasite Eve    ,Series,Square  ,Square  ,N/A  ,N/A  ,N/A  ,3.10m,N/A,N/A,N/A,N/A,N/A,09th Sep 98  ,29th Feb 20
1230,/games/boxart/full_7967376AmericaFrontccc.jpg,https://www.vgchartz.com/game/228352/quake/?region=All,Quake    ,Series,GT Interactive  ,id Software  ,N/A  ,N/A  ,N/A  ,3.10m,N/A,N/A,N/A,N/A,N/A,22nd Jun 96  ,25th Feb 21
1231,/games/boxart/full_7787486AmericaFrontccc.jpg,https://www.vgchartz.com/game/28815/mass-effect-2/?region=All,Mass Effect 2     Read the review,X360,Electronic Arts  ,BioWare Edmonton  ,9.5  ,9.5  ,8.9  ,N/A,3.10m,1.99m,0.81m,0.03m,0.27m,26th Jan 10  ,N/A
1232,/games/boxart/full_1740459AmericaFrontccc.png,https://www.vgchartz.com/game/228774/sacred/?region=All,Sacred    ,Series,Encore  ,Ascaron  ,N/A  ,N/A  ,N/A  ,3.09m,N/A,N/A,N/A,N/A,N/A,25th Mar 04  ,21st Apr 21
1233,/games/boxart/full_7812017JapanFrontccc.jpg,https://www.vgchartz.com/game/85716/fire-emblem-fates/?region=All, Fire Emblem Fates    ,3DS,Nintendo  ,Intelligent Systems  ,N/A  ,N/A  ,N/A  ,3.09m,N/A,N/A,N/A,N/A,N/A,19th Feb 16  ,31st Dec 17
1234,/games/boxart/2775278ccc.jpg,https://www.vgchartz.com/game/6321/madden-nfl-2002/?region=All,Madden NFL 2002    ,PS2,EA Sports  ,EA Sports  ,N/A  ,N/A  ,N/A  ,N/A,3.08m,2.50m,0.16m,0.01m,0.42m,19th Aug 01  ,N/A
1235,/games/boxart/1742060ccc.jpg,https://www.vgchartz.com/game/6528/world-class-track-meet/?region=All,World Class Track Meet    ,NES,Bandai  ,Bandai  ,N/A  ,N/A  ,N/A  ,3.08m,N/A,N/A,N/A,N/A,N/A,01st Sep 87  ,N/A
1236,/games/boxart/full_707317AmericaFrontccc.jpg,https://www.vgchartz.com/game/23937/lego-batman-the-videogame/?region=All,LEGO Batman: The Videogame    Read the review,Wii,Warner Bros. Interactive  ,Traveller's Tales  ,7.5  ,7.3  ,N/A  ,N/A,3.08m,1.80m,0.98m,N/A,0.29m,23rd Sep 08  ,N/A
1237,/games/boxart/full_2141889AmericaFrontccc.jpg,https://www.vgchartz.com/game/13813/saints-row-2/?region=All,Saints Row 2    ,X360,THQ  ,Volition Inc.  ,N/A  ,7.9  ,N/A  ,N/A,3.07m,1.98m,0.79m,0.02m,0.28m,14th Oct 08  ,02nd Apr 18
1238,/games/boxart/692813ccc.jpg,https://www.vgchartz.com/game/3106/donkey-kong/?region=All,Donkey Kong    ,GB,Nintendo  ,Nintendo EAD  ,N/A  ,N/A  ,N/A  ,3.07m,N/A,N/A,N/A,N/A,N/A,01st Jun 94  ,N/A
1239,/games/boxart/full_7899849AmericaFrontccc.png,https://www.vgchartz.com/game/72208/new-super-luigi-u/?region=All,New Super Luigi U    Read the review,WiiU,Nintendo  ,Nintendo  ,8.2  ,7.8  ,N/A  ,3.07m,N/A,N/A,N/A,N/A,N/A,25th Aug 13  ,24th Jan 18
1240,/games/boxart/718364ccc.jpg,https://www.vgchartz.com/game/6490/the-sims-vacation/?region=All,The Sims: Vacation    ,PC,Electronic Arts  ,Maxis  ,N/A  ,N/A  ,N/A  ,N/A,3.07m,1.72m,1.21m,N/A,0.14m,25th Mar 02  ,N/A
1241,/games/boxart/full_3011020AmericaFrontccc.jpg,https://www.vgchartz.com/game/72087/call-of-duty-ghosts/?region=All,Call of Duty: Ghosts    ,XOne,Activision  ,Infinity Ward  ,N/A  ,7.5  ,N/A  ,N/A,3.07m,1.92m,0.86m,N/A,0.28m,22nd Nov 13  ,21st Mar 18
1242,/games/boxart/full_309389AmericaFrontccc.jpg,https://www.vgchartz.com/game/18595/lego-batman-the-videogame/?region=All,LEGO Batman: The Videogame    ,DS,Warner Bros. Interactive  ,Traveller's Tales  ,N/A  ,7.8  ,N/A  ,N/A,3.06m,1.75m,1.02m,N/A,0.29m,23rd Sep 08  ,N/A
1243,/games/boxart/full_3497502PALFrontccc.jpg,https://www.vgchartz.com/game/55597/borderlands-2/?region=All,Borderlands 2    ,X360,2K Games  ,Gearbox Software  ,N/A  ,N/A  ,N/A  ,N/A,3.06m,1.89m,0.88m,0.04m,0.26m,15th Jan 13  ,N/A
1244,/games/boxart/full_6706395AmericaFrontccc.jpg,https://www.vgchartz.com/game/23457/kung-fu-panda/?region=All,Kung Fu Panda    ,X360,Activision  ,Luxoflux  ,N/A  ,7.5  ,N/A  ,N/A,3.05m,1.91m,0.84m,N/A,0.29m,03rd Jun 08  ,N/A
1245,/games/boxart/full_4734836AmericaFrontccc.jpg,https://www.vgchartz.com/game/44118/mass-effect-3/?region=All,Mass Effect 3    Read the review,X360,Electronic Arts  ,BioWare  ,9.4  ,N/A  ,N/A  ,N/A,3.04m,1.94m,0.84m,0.03m,0.24m,06th Mar 12  ,N/A
1246,/games/boxart/full_4795232AmericaFrontccc.jpg,https://www.vgchartz.com/game/228919/elden-ring/?region=All,Elden Ring    ,XS,Bandai Namco Entertainment  ,From Software  ,N/A  ,N/A  ,N/A  ,3.04m,N/A,N/A,N/A,N/A,N/A,25th Feb 22  ,18th Jan 23
1247,/games/boxart/full_2929337AmericaFrontccc.jpg,https://www.vgchartz.com/game/229241/metroid-dread/?region=All,Metroid Dread    Read the review,NS,Nintendo  ,Nintendo  ,9.0  ,N/A  ,N/A  ,3.04m,N/A,N/A,N/A,N/A,N/A,08th Oct 21  ,15th Jun 21
1248,/games/boxart/full_7718699AmericaFrontccc.jpg,https://www.vgchartz.com/game/25553/rhythm-heaven/?region=All,Rhythm Heaven    Read the review,DS,Nintendo  ,Nintendo SPD Group No.1  ,8.9  ,8.5  ,N/A  ,3.04m,N/A,N/A,N/A,N/A,N/A,05th Apr 09  ,31st May 18
1249,/games/boxart/full_3992261AmericaFrontccc.png,https://www.vgchartz.com/game/73202/metal-gear-solid-v-the-phantom-pain/?region=All,Metal Gear Solid V: The Phantom Pain    ,PS4,Konami Digital Entertainment  ,Kojima Productions  ,N/A  ,N/A  ,N/A  ,N/A,3.04m,0.97m,1.15m,0.50m,0.42m,01st Sep 15  ,04th May 18
1250,/games/boxart/full_6149600AmericaFrontccc.jpg,https://www.vgchartz.com/game/1850/rayman/?region=All,Rayman    ,PS,Ubisoft  ,Ubisoft Montpellier  ,N/A  ,7.0  ,N/A  ,N/A,3.03m,1.54m,1.33m,N/A,0.16m,01st Sep 95  ,N/A
1251,/games/boxart/6684060ccc.jpg,https://www.vgchartz.com/game/2467/tom-clancys-splinter-cell/?region=All,Tom Clancy's Splinter Cell    ,XB,Ubisoft  ,Ubisoft  ,N/A  ,9.3  ,9.1  ,N/A,3.02m,1.85m,1.04m,N/A,0.13m,17th Nov 02  ,N/A
1252,/games/boxart/9646871ccc.jpg,https://www.vgchartz.com/game/6401/mike-tysons-punch-out/?region=All,Mike Tyson's Punch-Out!!    ,NES,Nintendo  ,Nintendo IRD  ,N/A  ,N/A  ,N/A  ,3.02m,N/A,N/A,N/A,N/A,N/A,01st Oct 87  ,N/A
1253,/games/boxart/full_professor-layton-and-the-unwound-future_8AmericaFront.jpg,https://www.vgchartz.com/game/29427/professor-layton-and-the-unwound-future/?region=All,Professor Layton and the Unwound Future    Read the review,DS,Nintendo  ,Level 5  ,9.0  ,8.4  ,N/A  ,3.02m,N/A,N/A,N/A,N/A,N/A,12th Sep 10  ,N/A
1254,/games/boxart/full_9417317AmericaFrontccc.png,https://www.vgchartz.com/game/227824/soulcalibur-iv/?region=All,SoulCalibur IV    ,All,Namco Bandai Games  ,Project Soul  ,N/A  ,N/A  ,N/A  ,3.02m,N/A,N/A,N/A,N/A,N/A,29th Jul 08  ,20th Nov 20
1255,/games/boxart/full_5791265AmericaFrontccc.jpg,https://www.vgchartz.com/game/229504/miitopia/?region=All,Miitopia    ,All,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,3.01m,N/A,N/A,N/A,N/A,N/A,28th Jul 17  ,05th Aug 21
1256,/games/boxart/full_1736497AmericaFrontccc.jpg,https://www.vgchartz.com/game/7422/age-of-empires/?region=All,Age of Empires    ,PC,Microsoft  ,Ensemble Studios  ,N/A  ,N/A  ,N/A  ,3.00m,N/A,N/A,N/A,N/A,N/A,30th Sep 97  ,N/A
1257,/games/boxart/full_2206216AmericaFrontccc.jpg,https://www.vgchartz.com/game/227971/bastion/?region=All,Bastion    ,All,Warner Bros. Interactive Entertainment  ,Supergiant Games  ,N/A  ,N/A  ,N/A  ,3.00m,N/A,N/A,N/A,N/A,N/A,20th Jul 11  ,27th Dec 20
1258,/games/boxart/full_3408526AmericaFrontccc.png,https://www.vgchartz.com/game/230988/battlefield-1942/?region=All,Battlefield 1942    ,All,Electronic Arts  ,Digital Illusions CE  ,N/A  ,N/A  ,N/A  ,3.00m,N/A,N/A,N/A,N/A,N/A,10th Sep 02  ,29th Sep 22
1259,/games/boxart/full_2741193AmericaFrontccc.png,https://www.vgchartz.com/game/227723/bioshock-2/?region=All,BioShock 2    ,All,2K Games  ,2K Marin  ,N/A  ,N/A  ,N/A  ,3.00m,N/A,N/A,N/A,N/A,N/A,09th Feb 10  ,03rd Nov 20
1260,/games/boxart/full_5677432AmericaFrontccc.jpg,https://www.vgchartz.com/game/229540/chivalry/?region=All,Chivalry    ,Series,Torn Banner Studios  ,Torn Banner Studios  ,N/A  ,N/A  ,N/A  ,3.00m,N/A,N/A,N/A,N/A,N/A,10th Sep 07  ,17th Aug 21
1261,/games/boxart/full_6488394AmericaFrontccc.jpg,https://www.vgchartz.com/game/227694/civilization-ii/?region=All,Civilization II    ,All,Microprose  ,MicroProse  ,N/A  ,N/A  ,N/A  ,3.00m,N/A,N/A,N/A,N/A,N/A,29th Feb 96  ,31st Oct 20
1262,/games/boxart/full_1769656AmericaFrontccc.jpg,https://www.vgchartz.com/game/226062/code-vein/?region=All,Code Vein    ,Series,Bandai Namco Entertainment  ,Bandai Namco Studios  ,N/A  ,N/A  ,N/A  ,3.00m,N/A,N/A,N/A,N/A,N/A,27th Sep 19  ,04th Feb 20
1263,/games/boxart/full_5007761AmericaFrontccc.jpg,https://www.vgchartz.com/game/227436/code-vein/?region=All,Code Vein    ,All,Bandai Namco Entertainment  ,Bandai Namco Studios  ,N/A  ,N/A  ,N/A  ,3.00m,N/A,N/A,N/A,N/A,N/A,27th Sep 19  ,09th Oct 20
1264,/games/boxart/full_1791933AmericaFrontccc.jpg,https://www.vgchartz.com/game/227743/command-amp-conquer/?region=All,Command & Conquer    ,All,Virgin Interactive  ,Westwood Studios  ,N/A  ,N/A  ,N/A  ,3.00m,N/A,N/A,N/A,N/A,N/A,26th Sep 95  ,08th Nov 20
1265,/games/boxart/full_6189242AmericaFrontccc.jpg,https://www.vgchartz.com/game/227921/control/?region=All,Control    ,All,505 Games  ,Remedy Entertainment  ,N/A  ,N/A  ,N/A  ,3.00m,N/A,N/A,N/A,N/A,N/A,27th Aug 19  ,09th Dec 20
1266,/games/boxart/1221019ccc.jpg,https://www.vgchartz.com/game/426/croc-legend-of-the-gobbos/?region=All,Croc: Legend of the Gobbos    ,PS,Fox Interactive  ,Argonaut Games  ,N/A  ,7.6  ,N/A  ,3.00m,N/A,N/A,N/A,N/A,N/A,29th Sep 97  ,N/A
1267,/games/boxart/full_525359AmericaFrontccc.jpg,https://www.vgchartz.com/game/7182/crysis/?region=All,Crysis    ,PC,Electronic Arts  ,Crytek  ,N/A  ,9.2  ,8.5  ,3.00m,N/A,N/A,N/A,N/A,N/A,13th Nov 07  ,N/A
1268,/games/boxart/full_8919583AmericaFrontccc.png,https://www.vgchartz.com/game/227991/crysis-2/?region=All,Crysis 2    ,All,Electronic Arts  ,Crytek  ,N/A  ,N/A  ,N/A  ,3.00m,N/A,N/A,N/A,N/A,N/A,22nd Mar 11  ,31st Dec 20
1269,/games/boxart/full_2126209AmericaFrontccc.jpg,https://www.vgchartz.com/game/232305/cyberpunk-2077-phantom-liberty/?region=All,Cyberpunk 2077: Phantom Liberty    ,All,CD Projekt Red Studio  ,CD Projekt Red Studio  ,N/A  ,N/A  ,N/A  ,3.00m,N/A,N/A,N/A,N/A,N/A,26th Sep 23  ,05th Oct 23
